Month,Day,Year,thuc_test_goodwin_nhdplus_Total Streamflow [Mg],thuc_test_goodwin_nhdplus__Sediment: All: Total [Mg],thuc_test_goodwin_topagnps_Direct Runoff [Mg],thuc_test_goodwin_topagnps_Sediment: All: Total [Mg]
10,28,1991,17595.08,6.376,0,0
10,29,1991,17288.457,6.187,57853.779,19.944
10,30,1991,19308.846,6.765,1737.252,1.52
10,31,1991,20127.112,6.937,21791.649,8.495
11,1,1991,23511.101,7.895,131645.325,42.503
11,2,1991,36431.194,12.038,0,0
11,3,1991,41184.761,13.518,0,0
11,4,1991,28618.464,9.361,0,0
11,5,1991,17456.423,5.7,0,0
11,6,1991,6907.513,2.254,0,0
11,7,1991,298.667,0.14,1166.124,3.451
11,8,1991,201.112,0.194,0,0
11,9,1991,287.238,0.277,0,0
11,10,1991,218.779,0.211,0,0
11,11,1991,138.48,0.133,0,0
11,12,1991,58.179,0.056,0,0
11,13,1991,2.296,0.002,0,0
11,14,1991,0.343,0,0,0
11,15,1991,0.326,0,0,0
11,16,1991,0.3,0,0,0
11,17,1991,0.273,0,0,0
11,18,1991,0.252,0,0,0
11,19,1991,6391.509,5.484,108561.11,124.558
11,20,1991,33595.192,30.751,231471.216,278.772
11,21,1991,70664.815,66.407,0.432,0
11,22,1991,82690.185,79.202,0.299,0
11,23,1991,60267.949,57.993,0.367,0
11,24,1991,35293.23,34.254,0.366,0
11,25,1991,12650.609,12.516,0.362,0
11,26,1991,421.841,0.416,0.354,0
11,27,1991,2.323,0,0.285,0
11,28,1991,2.275,0,0.14,0
11,29,1991,2.222,0,0.135,0
11,30,1991,80662.677,129.493,1228243.98,2291.015
12,1,1991,317084.785,506.281,1148765.12,2161.708
12,2,1991,592065.705,933.974,331303.999,507.335
12,3,1991,648122.543,1003.94,16.612,0
12,4,1991,501474.636,760.733,18.78,0
12,5,1991,293136.226,437.988,18.051,0
12,6,1991,110521.267,158.003,16.999,0
12,7,1991,20329.197,25.381,35.251,0.006
12,8,1991,3662.004,3.476,49307.263,56.315
12,9,1991,13890.739,12.305,79264.286,88.753
12,10,1991,27410.341,24.024,20.017,0
12,11,1991,30558.657,26.507,20.43,0
12,12,1991,22653.618,19.496,11289.063,12.775
12,13,1991,22987.777,17.758,136517.709,109.322
12,14,1991,32410.136,22.217,23.984,0
12,15,1991,38502.289,25.356,24.463,0
12,16,1991,28947.142,19.018,23.557,0
12,17,1991,18036.529,11.821,22.468,0
12,18,1991,7359.892,4.794,21.357,0
12,19,1991,284.837,0.161,20.305,0
12,20,1991,37.002,0,19.29,0
12,21,1991,39.891,0.001,20.733,0
12,22,1991,160.782,0.118,1467.633,5.561
12,23,1991,624.491,0.555,3665.306,8.999
12,24,1991,1229.924,1.111,17.033,0
12,25,1991,1407.875,1.255,16.834,0
12,26,1991,1027.162,0.906,16.418,0
12,27,1991,636.023,0.533,159.709,0.491
12,28,1991,333.729,0.216,57.373,0.058
12,29,1991,201.724,0.061,14.806,0
12,30,1991,183.608,0.047,14.284,0
12,31,1991,133.046,0.031,13.891,0
